Title,Genre,Year Release,Rating,Studio
Delicious in Dungeon,"{'Comedy', 'Fantasy', 'GourmetGourmet'}",2024,8.09,Trigger
Assassination Classroom,"{'Comedy', 'Action'}",2015,8.08,Lerche
To Your Eternity Season 2,"{'Drama', 'Adventure', 'Supernatural'}",2022,8.08,Drive
Glass Mask,"{'Romance', 'Drama'}",2005,8.08,Tokyo Movie Shinsha
Hikaru no Go,"{'Comedy', 'Supernatural', 'Drama'}",2001,8.08,Pierrot
Food Wars! The Second Plate,"{'Ecchi', 'GourmetGourmet'}",2016,8.08,J.C.Staff
Skip Beat!,"{'Romance', 'Comedy', 'Drama'}",2008,8.08,HAL Film Maker
Astra Lost in Space,"{'Suspense', 'Mystery', 'Sci-Fi', 'Adventure', 'Award Winning'}",2019,8.08,Lerche
Mobile Suit Gundam 00: Second Season,"{'Drama', 'Sci-Fi', 'Action'}",2008,8.08,Sunrise
Overlord IV,"{'Fantasy', 'Adventure', 'Action'}",2022,8.08,Madhouse
Kodocha,"{'Romance', 'Comedy', 'Drama'}",1996,8.07,Gallop
The Pet Girl of Sakurasou,"{'Romance', 'Drama'}",2012,8.07,J.C.Staff
Hyouka,"{'Slice of Life', 'Mystery'}",2012,8.07,Kyoto Animation
Toradora!,"{'Romance', 'Drama'}",2008,8.07,J.C.Staff
Mobile Suit Gundam: Iron-Blooded Orphans,"{'Drama', 'Sci-Fi', 'Action'}",2015,8.06,Sunrise
Black Butler: Book of Circus,"{'Mystery', 'Fantasy', 'Action'}",2014,8.06,A-1 Pictures
The Ancient Magus' Bride,"{'Romance', 'Drama', 'Fantasy'}",2017,8.06,Wit Studio
"No Game, No Life","{'Ecchi', 'Comedy', 'Fantasy'}",2014,8.06,Madhouse
Angel Beats!,"{'Drama', 'Supernatural'}",2010,8.06,P.A. Works
The Quintessential Quintuplets 2,"{'Romance', 'Comedy'}",2021,8.05,Bibury Animation Studios
Darker than Black,"{'Mystery', 'Sci-Fi', 'Action'}",2007,8.05,Bones
Date A Live V,"{'Romance', 'Fantasy', 'Sci-Fi', 'Action'}",2024,8.05,Geek Toys
Durarara!! x2 Ketsu,"{'Mystery', 'Supernatural', 'Action'}",2016,8.05,Shuka
Eureka Seven,"{'Drama', 'Action', 'Romance', 'Sci-Fi', 'Adventure'}",2005,8.05,Bones
KenIchi: The Mightiest Disciple,"{'Comedy', 'Action'}",2006,8.05,TMS Entertainment
Welcome to Demon School! Iruma-kun Season 2,"{'Comedy', 'Fantasy'}",2021,8.04,Bandai Namco Pictures
Den-noh Coil,"{'Drama', 'Mystery', 'Sci-Fi', 'Adventure', 'Award Winning'}",2007,8.04,Madhouse
Slayers Next,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",1996,8.03,E&G Films
Kill la Kill,"{'Ecchi', 'Comedy', 'Fantasy', 'Action'}",2013,8.03,Trigger
Lovely Complex,"{'Romance', 'Comedy'}",2007,8.03,Toei Animation
Yona of the Dawn,"{'Romance', 'Fantasy', 'Adventure', 'Action'}",2014,8.03,Pierrot
Full Metal Panic? Fumoffu,"{'Comedy', 'Action'}",2003,8.03,Kyoto Animation
Silver Fang,"{'Drama', 'Adventure', 'Action'}",1986,8.03,Toei Animation
The Twelve Kingdoms,"{'Fantasy', 'Adventure', 'Action'}",2002,8.02,Pierrot
Tales of Saiunkoku,"{'Romance', 'Fantasy', 'Adventure'}",2007,8.02,Madhouse
Kimi ni Todoke: From Me to You,"{'Romance', 'Drama'}",2009,8.01,Production I.G
Magi: The Labyrinth of Magic,"{'Fantasy', 'Adventure', 'Action'}",2012,8.01,A-1 Pictures
Shadows House 2nd Season,"{'Fantasy', 'Mystery'}",2022,8.01,CloverWorks
D.Gray-man,"{'Fantasy', 'Adventure', 'Action'}",2006,8.01,TMS Entertainment
A Certain Scientific Railgun S,"{'Fantasy', 'Sci-Fi', 'Action'}",2013,8.01,J.C.Staff
Tokyo Magnitude 8.0,"{'Drama', 'Award Winning'}",2009,8.01,"Bones, Kinema Citrus"
My Teen Romantic Comedy SNAFU,"{'Romance', 'Comedy'}",2013,8,Brain's Base
Classroom of the Elite III,"{'Drama', 'Suspense'}",2024,8,Lerche
Zombie Land Saga Revenge,"{'Comedy', 'Supernatural'}",2021,8,MAPPA
Maid Sama!,"{'Romance', 'Comedy'}",2010,8,J.C.Staff
Naruto,"{'Fantasy', 'Adventure', 'Action'}",2002,8,Pierrot
ef - a tale of melodies.,"{'Romance', 'Drama', 'Supernatural', 'Mystery'}",2008,8,Shaft
Honey and Clover,"{'Romance', 'Comedy', 'Drama'}",2005,8,J.C.Staff
